Semantic_Similarity,Question_Score,Student_Score
0.8141021953279143,10,7
0.7732044527842321,10,0
0.8393367515045768,10,9
0.6749562971023328,10,0
0.5125454471348735,10,0
0.6358085622043691,10,2
0.8816383229929698,10,6
0.8459891051338637,10,6
0.9236224743706053,10,8
0.83324051232436,10,6
0.9129642142023924,10,6
0.7609197095964353,5,0
0.9579369989378715,5,5
0.838058890036734,5,5
0.9367032708137781,5,2
0.6462300299868727,5,0
0.800571695558827,5,4
0.9522037669500487,5,5
0.9639127892349865,5,4
0.4661051752183669,5,4
0.8439333882673685,5,4
0.9115808587917357,5,5
0.840568928781241,5,5
0.7030170262232289,5,0
0.929572754461432,5,4
0.9566190578352111,5,5
0.8570884234095595,5,4
0.8944473999418047,5,4
0.9626840652725197,5,4
0.867205095657731,5,5
0.9709469989831396,5,5
0.9233063662324879,5,4
0.8536417178781059,5,4
0.8687217173652882,5,3
0.9674138363430138,5,4
0.9767502272166336,5,5
0.8835830455067757,5,5
0.9110480409905748,5,2
0.949396194206899,5,2
0.894012818746538,5,3
0.9166173643947547,5,2
0.9629389472163071,5,3
0.9503942086936407,5,4
0.9880390150016751,5,5
0.9638230846130074,5,1
0.9747585286606492,5,4
0.9291760051603811,5,1
0.8857196237823539,5,3
0.9391241950538249,5,2
0.9334140224831621,5,4
0.957803208947147,6,4
0.9615592315406163,5,4
0.8256996529113032,5,3
0.9231055041046365,5,2
0.8997311368630229,5,3
0.9143140397239329,5,2
0.9018122127578819,5,3
0.9396119788053616,5,4
0.9298941042025571,5,3
0.9273353863220171,5,4
0.9185326270064247,5,4
0.8916254385480615,5,4
0.9111363362664364,1,1
0.8633540331839186,1,1
0.8708056157484516,1,0
0.8633540331839186,1,1
0.847240543884431,1,0
0.8150496747031081,1,1
0.8151351879914989,1,1
0.9115721440828574,4,4
0.5578953384693447,4,0
0.9458271032071567,4,4
0.9208186091032021,5,4
0.8957858939009654,5,5
0.0,5,0
0.9372137894215755,5,3
0.9166852847705274,5,4
